(839,1446), (828,1457)
(834,1464), (856,1442)
(857,1442), (883,1416)
(884,1416), (909,1391)
(1096,1373), (1365,1373)
(1369,1301), (1369,1359)
(1381,1382), (1381,1301)
(1018,1207), (1003,1222)
(1002,1222), (987,1237)
(994,1239), (1005,1228)
(1006,1228), (1017,1217)
(1018,1217), (1030,1205)
(927,1198), (941,1212)
(941,1213), (955,1227)
(955,1228), (969,1242)
(969,1235), (958,1224)
(958,1223), (947,1212)
(947,1211), (936,1200)
(992,1196), (1025,1196)
(924,1165), (924,1190)
(931,1188), (931,1165)
(1369,1108), (1369,1297)
(1381,1297), (1381,1108)
(982,1062), (982,1184)
(988,1183), (988,1062)
(924,1062), (924,1086)
(931,1086), (931,1062)
(1369,1062), (1369,1104)
(935,1058), (978,1058)
(992,1058), (1365,1058)
(923,596), (1365,596)
(1369,563), (1369,586)
(1369,600), (1369,1047)
(1381,1048), (1381,563)
(923,528), (923,586)
(928,586), (928,528)
(857,524), (919,524)
(630,515), (701,515)
(701,528), (640,528)
(640,528), (640,592)
(638,594), (394,594)
(394,594), (394,873)
(394,873), (465,873)
(467,875), (467,1047)
(467,1047), (821,1047)
(821,1062), (794,1062)
(794,1062), (794,1079)
(780,1079), (780,1062)
(780,1062), (575,1062)
(575,1062), (575,1166)
(575,1166), (780,1166)
(794,1154), (794,1300)
(792,1302), (360,1302)
(360,1289), (449,1289)
(449,1289), (449,885)
(449,885), (95,885)
(95,885), (95,1289)
(95,1289), (193,1289)
(193,1302), (153,1302)
(153,1302), (153,1324)
(140,1324), (140,1302)
(140,1302), (80,1302)
(78,1300), (78,875)
(80,873), (380,873)
(380,873), (380,584)
(382,582), (628,582)
(628,582), (628,517)
(144,1302), (144,1322)
(149,1322), (149,1302)
(362,1298), (780,1298)
(780,1293), (467,1293)
(95,1298), (140,1298)
(153,1298), (191,1298)
(574,1176), (780,1176)
(784,1180), (784,1289)
(790,1289), (790,1156)
(563,1062), (563,1166)
(571,1166), (571,1062)
(467,1062), (467,1289)
(467,1289), (780,1289)
(780,1289), (780,1180)
(780,1180), (561,1180)
(559,1178), (559,1062)
(575,1058), (780,1058)
(794,1058), (819,1058)
(467,1058), (559,1058)
(453,885), (453,1289)
(463,1289), (463,1062)
(463,1047), (463,885)
(82,885), (82,1289)
(91,1289), (91,885)
(95,881), (449,881)
(449,877), (393,877)
(384,594), (384,873)
(390,873), (390,594)
(394,590), (628,590)
(632,528), (632,582)
(636,582), (636,528)
(640,524), (699,524)
